,hot,episode,guzhuang,Bilibili,LeTV,Youku,multi,Sohu,Aiqy,Tencent,MangoTV,time,actor_con,actor_degree,director_con,director_degree
21,41.96,12.0,0,0,0,0,0,0,0,0,1,0,0.3333333333333333,0.016574585635359115,0.0625,0.011088011088011088
31,81.18,30.0,0,0,0,0,0,0,1,0,0,0,0.25,0.022099447513812154,0.0625,0.011088011088011088
33,77.56,24.0,0,0,0,0,0,0,0,1,0,0,0.20000000000000004,0.027624309392265192,0.02380952380952379,0.029106029106029108
39,78.34,14.0,0,0,0,0,1,0,0,0,0,0,0.20000000000000004,0.027624309392265192,0.06666666666666667,0.010395010395010396
48,40.27,36.0,0,0,0,0,0,0,1,0,0,0,0.14285714285714285,0.038674033149171276,0.06666666666666667,0.010395010395010396
55,47.51,12.0,1,0,0,1,0,0,0,0,0,0,0.14285714285714285,0.038674033149171276,0.05263157894736843,0.013167013167013169
57,29.55,23.0,1,0,0,1,0,0,0,0,0,0,0.5,0.011049723756906077,0.10000000000000003,0.00693000693000693
60,43.68,12.0,0,0,0,0,0,0,1,0,0,0,0.20000000000000004,0.027624309392265192,0.1111111111111111,0.006237006237006237
80,45.26,24.0,0,0,0,1,0,0,0,0,0,0,0.20000000000000004,0.027624309392265192,0.0625,0.011088011088011088
82,70.67,20.0,0,0,0,0,1,0,0,0,0,0,0.14285714285714285,0.038674033149171276,0.04347826086956521,0.01593901593901594
103,50.97,12.0,0,0,0,0,0,0,1,0,0,1,0.3333333333333333,0.016574585635359115,0.07692307692307694,0.009009009009009009
123,55.01,12.0,0,0,0,0,0,0,1,0,0,1,0.3333333333333333,0.016574585635359115,0.07692307692307694,0.009009009009009009
142,38.78,12.0,0,0,0,0,0,0,1,0,0,1,0.25,0.022099447513812154,0.16666666666666669,0.004158004158004158
165,38.65,24.0,0,0,0,1,0,0,0,0,0,1,0.5,0.011049723756906077,0.07142857142857142,0.009702009702009703
166,35.7,16.0,0,0,0,1,0,0,0,0,0,1,0.5,0.011049723756906077,0.5,0.001386001386001386
173,60.34,36.0,1,0,0,0,0,0,0,1,0,1,0.1111111111111111,0.049723756906077346,0.039999999999999994,0.017325017325017327
178,35.6,18.0,1,0,0,1,0,0,0,0,0,1,0.5,0.011049723756906077,0.5,0.001386001386001386
184,59.76,26.0,0,0,0,0,0,0,1,0,0,1,0.16666666666666669,0.03314917127071823,0.02083333333333332,0.033264033264033266
191,30.19,30.0,0,0,0,1,0,0,0,0,0,1,1.0,0.0055248618784530384,0.07692307692307694,0.009009009009009009
209,43.09,32.0,0,0,0,1,0,0,0,0,0,1,0.5,0.011049723756906077,0.08333333333333336,0.008316008316008316
219,39.82,9.0,0,0,0,1,0,0,0,0,0,2,0.3333333333333333,0.016574585635359115,0.04347826086956521,0.01593901593901594
222,39.18,30.0,1,0,0,1,0,0,0,0,0,2,0.5,0.011049723756906077,0.16666666666666669,0.004158004158004158
230,49.26,24.0,0,0,0,0,0,0,1,0,0,2,0.16666666666666669,0.03314917127071823,0.20000000000000004,0.003465003465003465
242,32.22,7.0,0,0,0,1,0,0,0,0,0,2,0.5,0.011049723756906077,0.04347826086956521,0.01593901593901594
258,34.51,29.0,0,0,0,1,0,0,0,0,0,2,0.5,0.011049723756906077,0.25,0.002772002772002772
274,38.0,30.0,0,0,0,1,0,0,0,0,0,2,1.0,0.0055248618784530384,0.07692307692307694,0.009009009009009009
275,45.32,20.0,0,0,0,0,1,0,0,0,0,2,0.20000000000000004,0.027624309392265192,0.039999999999999994,0.017325017325017327
295,43.95,25.311475409836067,0,0,0,0,0,0,1,0,0,2,0.25,0.022099447513812154,0.016949152542372874,0.040887040887040885
299,44.15,25.311475409836067,1,0,0,1,0,0,0,0,0,2,0.3333333333333333,0.016574585635359115,0.14285714285714285,0.0048510048510048516
311,54.6,45.0,0,0,0,0,1,0,0,0,0,2,0.14285714285714285,0.038674033149171276,0.08333333333333336,0.008316008316008316
312,54.22,24.0,1,0,0,0,0,0,1,0,0,2,0.16666666666666669,0.03314917127071823,0.0625,0.011088011088011088
322,37.27,31.0,1,0,0,1,0,0,0,0,0,3,0.5,0.011049723756906077,0.16666666666666669,0.004158004158004158
323,53.19,45.0,0,0,0,0,0,0,1,0,0,3,0.25,0.022099447513812154,0.016949152542372874,0.040887040887040885
344,53.7,24.0,0,0,0,0,0,0,0,1,0,3,0.25,0.022099447513812154,0.05000000000000003,0.01386001386001386
348,47.0,20.0,0,0,0,1,0,0,0,0,0,3,1.0,0.0055248618784530384,0.10000000000000003,0.00693000693000693
349,37.87,8.0,0,0,0,1,0,0,0,0,0,3,1.0,0.0055248618784530384,0.10000000000000003,0.00693000693000693
353,74.47,36.0,0,0,0,0,0,0,1,0,0,3,0.16666666666666669,0.03314917127071823,0.03571428571428573,0.019404019404019406
354,38.85,12.0,0,0,0,1,0,0,0,0,0,3,0.5,0.011049723756906077,0.3333333333333333,0.002079002079002079
364,36.84,24.0,0,0,0,1,0,0,0,0,0,3,0.3333333333333333,0.016574585635359115,0.16666666666666669,0.004158004158004158
365,58.25,28.0,0,0,0,0,0,0,0,1,0,3,0.16666666666666669,0.03314917127071823,0.02083333333333332,0.033264033264033266
371,42.01,27.0,1,0,0,1,0,0,0,0,0,3,0.3333333333333333,0.016574585635359115,0.05555555555555555,0.012474012474012475
388,51.33,24.0,0,0,0,0,0,0,0,0,1,3,0.20000000000000004,0.027624309392265192,0.05263157894736843,0.013167013167013169
391,48.11,24.0,0,0,0,0,0,0,1,0,0,3,0.20000000000000004,0.027624309392265192,0.039999999999999994,0.017325017325017327
403,42.96,25.311475409836067,1,0,0,1,0,0,0,0,0,3,0.20000000000000004,0.027624309392265192,0.09090909090909091,0.007623007623007623
412,43.74,10.0,0,0,0,0,1,0,0,0,0,3,1.0,0.0055248618784530384,0.16666666666666669,0.004158004158004158
440,50.81,40.0,0,0,0,0,0,0,0,0,1,4,0.20000000000000004,0.027624309392265192,0.03125,0.022176022176022176
461,38.67,25.0,0,0,0,1,0,0,0,0,0,4,0.3333333333333333,0.016574585635359115,0.05555555555555555,0.012474012474012475
462,42.88,62.0,0,0,0,0,0,0,0,1,0,4,0.5,0.011049723756906077,0.10000000000000003,0.00693000693000693
468,47.14,36.0,0,0,0,1,0,0,0,0,0,4,0.25,0.022099447513812154,0.09090909090909091,0.007623007623007623
472,82.59,68.0,1,0,0,1,0,0,0,0,0,4,0.3333333333333333,0.016574585635359115,0.05555555555555555,0.012474012474012475
481,82.12,23.0,0,0,0,0,1,0,0,0,0,4,0.5,0.011049723756906077,0.05555555555555555,0.012474012474012475
482,48.77,24.0,0,0,0,0,0,0,0,1,0,4,0.5,0.011049723756906077,0.09090909090909091,0.007623007623007623
490,47.26,30.0,0,0,0,0,0,0,0,0,1,4,0.20000000000000004,0.027624309392265192,0.05000000000000003,0.01386001386001386
500,59.51,45.0,0,0,0,1,0,0,0,0,0,4,0.20000000000000004,0.027624309392265192,0.06666666666666667,0.010395010395010396
515,46.23,30.0,1,0,0,1,0,0,0,0,0,4,0.5,0.011049723756906077,0.3333333333333333,0.002079002079002079
516,39.8,5.0,0,0,0,1,0,0,0,0,0,4,1.0,0.0055248618784530384,1.0,0.000693000693000693
525,55.73,25.311475409836067,0,0,0,1,0,0,0,0,0,4,0.14285714285714285,0.038674033149171276,0.05263157894736843,0.013167013167013169
533,55.67,25.311475409836067,0,0,0,0,0,0,1,0,0,4,0.20000000000000004,0.027624309392265192,0.05555555555555555,0.012474012474012475
537,75.09,35.0,0,0,0,0,0,0,1,0,0,4,0.3333333333333333,0.016574585635359115,0.05000000000000003,0.01386001386001386
550,53.93,20.0,0,0,0,1,0,0,0,0,0,4,0.25,0.022099447513812154,0.10000000000000003,0.00693000693000693
567,54.37,21.0,0,0,0,0,0,0,0,0,1,4,0.14285714285714285,0.038674033149171276,0.0625,0.011088011088011088
568,43.96,25.311475409836067,1,0,0,1,0,0,0,0,0,4,0.25,0.022099447513812154,0.05263157894736843,0.013167013167013169
574,37.67,25.311475409836067,0,0,0,1,0,0,0,0,0,5,0.3333333333333333,0.016574585635359115,0.25,0.002772002772002772
589,45.77,28.0,0,0,0,1,0,0,0,0,0,5,0.20000000000000004,0.027624309392265192,0.14285714285714285,0.0048510048510048516
590,78.37,38.0,0,0,0,0,0,0,1,0,0,5,0.14285714285714285,0.038674033149171276,0.01886792452830187,0.036729036729036726
605,54.58,24.0,0,0,0,0,0,0,1,0,0,5,0.20000000000000004,0.027624309392265192,0.06666666666666667,0.010395010395010396
606,48.98,70.0,0,0,0,0,0,0,0,1,0,5,0.25,0.022099447513812154,0.025641025641025623,0.027027027027027032
611,54.14,36.0,0,0,0,0,1,0,0,0,0,5,0.16666666666666669,0.03314917127071823,0.034482758620689634,0.0200970200970201
612,52.45,36.0,0,0,0,0,0,0,1,0,0,5,0.1111111111111111,0.049723756906077346,0.03333333333333333,0.02079002079002079
614,46.18,20.0,0,0,0,1,0,0,0,0,0,5,0.5,0.011049723756906077,0.14285714285714285,0.0048510048510048516
623,38.07,25.311475409836067,0,0,0,1,0,0,0,0,0,5,1.0,0.0055248618784530384,0.5,0.001386001386001386
650,55.81,25.311475409836067,0,0,0,1,0,0,0,0,0,5,0.5,0.011049723756906077,0.05555555555555555,0.012474012474012475
651,47.92,24.0,0,0,0,1,0,0,0,0,0,5,0.5,0.011049723756906077,0.05555555555555555,0.012474012474012475
665,62.14,30.0,0,0,0,0,1,0,0,0,0,5,0.3333333333333333,0.016574585635359115,0.027777777777777776,0.02494802494802495
671,48.43,26.0,0,0,0,0,1,0,0,0,0,5,0.5,0.011049723756906077,0.0625,0.011088011088011088
672,78.67,36.0,1,0,0,1,0,0,0,0,0,5,0.125,0.04419889502762431,0.027777777777777776,0.02494802494802495
673,49.53,18.0,0,0,0,0,0,0,0,0,1,5,0.1111111111111111,0.049723756906077346,0.06666666666666667,0.010395010395010396
680,52.27,32.0,0,0,0,0,0,0,0,1,0,5,0.25,0.022099447513812154,0.039999999999999994,0.017325017325017327
685,43.87,25.311475409836067,0,0,0,1,0,0,0,0,0,5,0.5,0.011049723756906077,0.05555555555555555,0.012474012474012475
686,78.71,45.0,1,0,0,0,0,0,0,1,0,5,0.25,0.022099447513812154,0.02083333333333332,0.033264033264033266
693,33.72,12.0,0,0,0,1,0,0,0,0,0,5,1.0,0.0055248618784530384,0.3333333333333333,0.002079002079002079
701,45.88,25.311475409836067,0,0,0,1,0,0,0,0,0,6,0.20000000000000004,0.027624309392265192,0.14285714285714285,0.0048510048510048516
714,37.65,25.0,0,0,0,1,0,0,0,0,0,6,0.25,0.022099447513812154,0.5,0.001386001386001386
737,46.98,28.0,1,0,0,1,0,0,0,0,0,6,0.20000000000000004,0.027624309392265192,0.14285714285714285,0.0048510048510048516
748,40.22,30.0,0,0,0,1,0,0,0,0,0,6,0.20000000000000004,0.027624309392265192,0.14285714285714285,0.0048510048510048516
780,54.78,32.0,1,0,0,0,0,0,1,0,0,6,0.1111111111111111,0.049723756906077346,0.028571428571428557,0.024255024255024255
785,81.81,49.0,1,0,0,0,0,0,0,1,0,6,0.14285714285714285,0.038674033149171276,0.02941176470588234,0.02356202356202356
810,52.33,24.0,0,0,0,1,0,0,0,0,0,7,0.3333333333333333,0.016574585635359115,0.045454545454545456,0.015246015246015246
814,47.37,26.0,1,0,0,1,0,0,0,0,0,7,0.3333333333333333,0.016574585635359115,0.05555555555555555,0.012474012474012475
816,47.05,30.0,0,0,0,1,0,0,0,0,0,7,0.20000000000000004,0.027624309392265192,0.25,0.002772002772002772
819,53.39,32.0,1,0,0,0,0,0,0,0,1,7,0.3333333333333333,0.016574585635359115,0.06666666666666667,0.010395010395010396
822,38.59,26.0,0,0,0,1,0,0,0,0,0,7,0.3333333333333333,0.016574585635359115,0.05555555555555555,0.012474012474012475
